1 (M): MWT 75 CIA B3 (10, H2Hn)
1441 (S): HGW 3 EIA C1 (4, N2Nn)
1441 (S): EIA C1 HGW 3 (4, N2Nn)
1442 (S): GBE 3 MAX T1C3 (3, N2Nn)
1442 (S): MAX T1C3 GBE 3 (3, N2Nn)
1443 (S): ACA 1 FYI G1 (4, N2Nn)
1443 (S): FYI G1 ACA 1 (4, N2Nn)
1444 (S): ACA 1 EIA C1 (3, N2Nn)
1444 (S): EIA C1 ACA 1 (3, N2Nn)
1445 (S): WMA 10 DJE 28 (3, N2Nn)
1445 (S): DJE 28 WMA 10 (3, N2Nn)
1446 (S): HND 106 EEA 33 (4, N2Nn)
1446 (S): EEA 33 HND 106 (4, N2Nn)
1447 (S): HND 105 OPA B12 (4, N2Nn)
1447 (S): OPA B12 HND 105 (4, N2Nn)
1448 (S): HND 105 TCB A2 (4, N2Nn)
1448 (S): TCB A2 HND 105 (4, N2Nn)
1449 (S): TSA C2 EEA 33 (3, N2Nn)
1449 (S): EEA 33 TSA C2 (3, N2Nn)
1450 (S): SVS B1 MAX T1C1 (3, N2Nn)
1450 (S): MAX T1C1 SVS B1 (3, N2Nn)
1451 (S): SVS A1 DJE 29 (4, N2Nn)
1451 (S): DJE 29 SVS A1 (4, N2Nn)
1452 (S): SVS A1 WMI C1 (4, N2Nn)
1452 (S): WMI C1 SVS A1 (4, N2Nn)
1453 (S): SAN C5 IXM C02 (3, N2Nn)
1453 (S): IXM C02 SAN C5 (3, N2Nn)
1454 (S): SAN C5 DJE 29 (3, N2Nn)
1454 (S): DJE 29 SAN C5 (3, N2Nn)
1455 (S): RSA 7 VFW D7 (4, N2Nn)
1455 (S): VFW D7 RSA 7 (4, N2Nn)
1456 (S): RSA 7 FYI G13 (3, N2Nn)
1456 (S): FYI G13 RSA 7 (3, N2Nn)
1457 (S): PIA A5 OPA B10 (4, N2Nn)
1457 (S): OPA B10 PIA A5 (4, N2Nn)
1458 (S): PIA A5 WMI C1 (3, N2Nn)
1458 (S): WMI C1 PIA A5 (3, N2Nn)
1459 (S): PCA B2 DBI 30 (14, N2Nn)
1459 (S): DBI 30 PCA B2 (14, N2Nn)
1460 (S): OCD 7 DFM 23 (3, N2Nn)
1460 (S): DFM 23 OCD 7 (3, N2Nn)
1461 (S): NMW 1 OPA B10 (4, N2Nn)
1461 (S): OPA B10 NMW 1 (4, N2Nn)
1462 (S): WIN 7 ABN E1 (3, N2Nn)
1462 (S): ABN E1 WIN 7 (3, N2Nn)
1463 (S): NHR 3 DFM 29 (4, N2Nn)
1463 (S): DFM 29 NHR 3 (4, N2Nn)
1464 (S): NHR 3 OPA B2 (4, N2Nn)
1464 (S): OPA B2 NHR 3 (4, N2Nn)
1465 (S): MWK 6 VFW D7 (3, N2Nn)
1465 (S): VFW D7 MWK 6 (3, N2Nn)
1466 (S): MPI A14 WMI D3 (4, N2Nn)
1466 (S): WMI D3 MPI A14 (4, N2Nn)
1467 (S): MPI A14 OPA B2 (3, N2Nn)
1467 (S): OPA B2 MPI A14 (3, N2Nn)
1468 (S): MBA 1 DFM 29 (3, N2Nn)
1468 (S): DFM 29 MBA 1 (3, N2Nn)
1469 (S): MWK 6 RVA R27 (3, N2Nn)
1469 (S): RVA R27 MWK 6 (3, N2Nn)
1470 (S): PCA B2 PIA A7 (14, N2Nn)
1470 (S): PIA A7 PCA B2 (14, N2Nn)
1471 (S): IAS A4 VFW D9 (4, N2Nn)
1471 (S): VFW D9 IAS A4 (4, N2Nn)
1472 (S): CHB 15 DBI 30 (3, N2Nn)
1472 (S): DBI 30 CHB 15 (3, N2Nn)
1473 (XS): LBX B4 KEK 101 (7, N2Nn)
1473 (XS): KEK 101 LBX B4 (7, N2Nn)
1474 (S): GBE 2 TCB A2 (4, N2Nn)
1474 (S): TCB A2 GBE 2 (4, N2Nn)
1475 (S): GBE 2 VFW D9 (3, N2Nn)
1475 (S): VFW D9 GBE 2 (3, N2Nn)
1476 (S): EEA 28 LBX C2 (4, N2Nn)
1476 (S): LBX C2 EEA 28 (4, N2Nn)
1477 (S): DJE 12 LBX C2 (3, N2Nn)
1477 (S): LBX C2 DJE 12 (3, N2Nn)
1478 (S): YST 10 WIN 7 (3, N2Nn)
1478 (S): WIN 7 YST 10 (3, N2Nn)
1479 (S): CHB 15 MAX T1C8 (4, N2Nn)
1479 (S): MAX T1C8 CHB 15 (4, N2Nn)
1480 (S): CAR 8 EEA 28 (3, N2Nn)
1480 (S): EEA 28 CAR 8 (3, N2Nn)
1481 (S): DJE 12 PIA A6 (4, N2Nn)
1481 (S): PIA A6 DJE 12 (4, N2Nn)
1482 (S): AMA 13 MAX T1C8 (3, N2Nn)
1482 (S): MAX T1C8 AMA 13 (3, N2Nn)
1483 (S): FYI G1 MFM 4 (4, N2Nn)
1483 (S): MFM 4 FYI G1 (4, N2Nn)
1484 (M): SSI B2 DFM 69 (0, N2Ne)
1484 (M): DFM 69 SSI B2 (0, N2Ne)
1485 (S): ABG D2 DHA 14 (3, N2Nn)
1485 (S): DHA 14 ABG D2 (3, N2Nn)
1486 (S): ABG D2 MFM 4 (4, N2Nn)
1486 (S): MFM 4 ABG D2 (4, N2Nn)
1487 (S): FYI G13 WIN 6 (4, N2Nn)
1487 (S): WIN 6 FYI G13 (4, N2Nn)
1488 (S): MAX B1 YST 10 (3, N2Nn)
1488 (S): YST 10 MAX B1 (3, N2Nn)
1489 (S): MAX B1 WIN 6 (4, N2Nn)
1489 (S): WIN 6 MAX B1 (4, N2Nn)
1490 (S): NMW 1 RVA R27 (4, N2Nn)
1490 (S): RVA R27 NMW 1 (4, N2Nn)
1491 (S): COA 1 WMI D3 (4, N2Nn)
1491 (S): WMI D3 COA 1 (4, N2Nn)
1492 (S): COA 1 DFM 5 (4, N2Nn)
1492 (S): DFM 5 COA 1 (4, N2Nn)
1493 (S): DFM 5 NPS 1 (3, N2Nn)
1493 (S): NPS 1 DFM 5 (3, N2Nn)
